Rank,Player,Goals
764.0,Ryan Taylor,8.0
764.0,Andrew Todd,8.0
764.0,Cenk Tosun,8.0
764.0,Virgil van Dijk,8.0
764.0,Ricardo Vaz Tê,8.0
764.0,Juan Sebastián Verón,8.0
764.0,Steve Walsh,8.0
764.0,Stephen Warnock,8.0
764.0,Jack Wilshere,8.0
764.0,Joseph Yobo,8.0
845.0,Graham Alexander,7.0
845.0,Morgan Amalfitano,7.0
845.0,Keith Andrews,7.0
845.0,Aljosa Asanovic,7.0
845.0,Phil Bardsley,7.0
845.0,Kingsley Black,7.0
845.0,Paul Bodin,7.0
845.0,Hameur Bouazza,7.0
845.0,David Brooks,7.0
845.0,Neil Clement,7.0
845.0,Jack Collison,7.0
845.0,José Fonte,7.0
845.0,Edu,7.0
845.0,Curtis Davies,7.0
845.0,Fabian Delph,7.0
845.0,Alessandro Diamanti,7.0
845.0,Alex,7.0
845.0,Sylvain Distin,7.0
845.0,Darren Eadie,7.0
845.0,Chris Eagles,7.0
845.0,Stefano Eranio,7.0
845.0,Patrice Evra,7.0
845.0,Chris Fairclough,7.0
845.0,Stephen Glass,7.0
845.0,Jesper Grønkjaer,7.0
845.0,Jonás Gutiérrez,7.0
845.0,Jeff Hendrick,7.0
845.0,David Hopkin,7.0
845.0,Nikola Kalinic,7.0
845.0,N'Golo Kanté,7.0
845.0,Michael Kightly,7.0
845.0,Georgi Kinkladze,7.0
845.0,Zat Knight,7.0
845.0,Shefki Kuqi,7.0
845.0,Liam Lawrence,7.0
845.0,Stan Lazaridis,7.0
845.0,Anders Limpar,7.0
845.0,Jake Livermore,7.0
845.0,Dejan Lovren,7.0
845.0,James Maddison,7.0
845.0,Harry Maguire,7.0
845.0,Dieudonne Mbokani Bezua,7.0
845.0,Jason McAteer,7.0
845.0,Leon McKenzie,7.0
845.0,Raul Meireles,7.0
845.0,Nacho Monreal,7.0
845.0,Aaron Mooy,7.0
845.0,Shkodran Mustafi,7.0
845.0,Jordon Mutch,7.0
845.0,Jan Mølby,7.0
845.0,Eddie Newton,7.0
845.0,Shabani Nonda,7.0
845.0,Stefano Okaka,7.0
845.0,Andy Reid,7.0
845.0,Martijn Reuser,7.0
845.0,Claudio Reyna,7.0
845.0,Dean Richards,7.0
845.0,Kevin Richardson,7.0
845.0,Petter Rudi,7.0
845.0,John Sheridan,7.0
845.0,Craig Short,7.0
845.0,Ricardo Carvalho,7.0
845.0,Roberto Soldado,7.0
845.0,Alexandre Song,7.0
845.0,Mario Stanic,7.0
845.0,Dejan Stefanovic,7.0
845.0,Gordon Strachan,7.0
845.0,Adel Taarabt,7.0
845.0,Somen Tchoyi,7.0
845.0,Paul Telfer,7.0
845.0,Svetoslav Todorov,7.0
845.0,John Utaka,7.0
845.0,Pierre van Hooijdonk,7.0
845.0,James Vaughan,7.0
845.0,Ramon Vega,7.0
845.0,Ashley Westwood,7.0
845.0,David Wheater,7.0
845.0,Dean Whitehead,7.0
845.0,Granit Xhaka,7.0
924.0,Clarence Acuna,6.0
924.0,Toby Alderweireld,6.0
924.0,Marcus Allbäck,6.0
924.0,Eduardo da Silva,6.0
924.0,César Azpilicueta,6.0
924.0,Markus Babbel,6.0
924.0,Leandro Bacuna,6.0
924.0,Sebastien Bassong,6.0
924.0,Roman Bednar,6.0
924.0,Héctor Bellerín,6.0
924.0,Johann Gudmundsson,6.0
924.0,Olivier Bernard,6.0
924.0,Ryan Bertrand,6.0
924.0,Paulinho,6.0
924.0,Lauren,6.0
924.0,Jeroen Boere,6.0
924.0,Jay Bothroyd,6.0
924.0,Colin Calderwood,6.0
924.0,Gary Caldwell,6.0
924.0,Tony Cascarino,6.0
924.0,Lee Cattermole,6.0
924.0,Pascal Chimbonda,6.0
924.0,Stephen Clemence,6.0
924.0,Sam Clucas,6.0
924.0,Tamir Cohen,6.0
924.0,Chris Coleman,6.0
924.0,Wayne Collins,6.0
924.0,Neil Cox,6.0
924.0,Keith Curle,6.0
924.0,Pedro Mendes,6.0
924.0,Samuele Dalla Bona,6.0
924.0,Ben Davies,6.0
924.0,Jô,6.0
924.0,Laurent Depoitre,6.0
924.0,Marcel Desailly,6.0
924.0,Scott Dobie,6.0
924.0,Gary Doherty,6.0
924.0,Christophe Dugarry,6.0
924.0,Paul Gallagher,6.0
924.0,Finidi George,6.0
924.0,Rudy Gestede,6.0
924.0,Bjarne Goldbaek,6.0
924.0,Bontcho Guenchev,6.0
924.0,Nick Henry,6.0
924.0,Glyn Hodges,6.0
924.0,Gary Hooper,6.0
924.0,Mile Jedinak,6.0
924.0,Bradley Johnson,6.0
924.0,Gavin Johnson,6.0
924.0,Ryan Jones,6.0
924.0,Shinji Kagawa,6.0
924.0,Olivier Kapo,6.0
924.0,Patrick Kluivert,6.0
924.0,Jason Koumas,6.0
924.0,Joe Ledley,6.0
924.0,Mickaël Madar,6.0
924.0,Chris Marsden,6.0
924.0,Paul Mason,6.0
924.0,Alex Mathie,6.0
924.0,Nemanja Matic,6.0
924.0,Alfie Mawson,6.0
924.0,John McGinlay,6.0
924.0,Paul McGrath,6.0
924.0,Mario Melchiot,6.0
924.0,Per Mertesacker,6.0
924.0,Kenny Miller,6.0
924.0,Danny Mills,6.0
924.0,Robert Molenaar,6.0
924.0,Andy Mutch,6.0
924.0,Adrian Mutu,6.0
924.0,Dame N'Doye,6.0
924.0,Gary Naysmith,6.0
924.0,Lucas Neill,6.0
924.0,Martin Olsson,6.0
924.0,Nicolás Otamendi,6.0
924.0,Walter Pandiani,6.0
924.0,Denilson,6.0
924.0,Lee Power,6.0
924.0,Winston Reid,6.0
924.0,John Robinson,6.0
924.0,Paul Rogers,6.0
924.0,Richard Rufus,6.0
924.0,Lawrie Sanchez,6.0
924.0,Facundo Sava,6.0
924.0,Philippe Senderos,6.0
924.0,Tommy Smith,6.0
924.0,Phil Stamp,6.0
924.0,Nicky Summerbee,6.0
924.0,Andrew Surman,6.0
924.0,Gary Taylor-Fletcher,6.0
924.0,Michael Thomas,6.0
924.0,Claus Thomsen,6.0
924.0,Kyle Walker,6.0
924.0,Stephen Ward,6.0
924.0,Dave Watson,6.0
924.0,Ashley Williams,6.0
924.0,Jonathan Woodgate,6.0
924.0,Maya Yoshida,6.0
924.0,Eric Young,6.0
1023.0,Samassi Abou,5.0
1023.0,Tammy Abraham,5.0
1023.0,Malcolm Allen,5.0
1023.0,Scott Arfield,5.0
1023.0,Celestine Babayaro,5.0
1023.0,David Batty,5.0
1023.0,Nadir Belhadj,5.0
1023.0,Emre,5.0
1023.0,Felipe Caicedo,5.0
1023.0,Víctor Camarasa,5.0
1023.0,Esteban Cambiasso,5.0
1023.0,Franz Carr,5.0
1023.0,Craig Cathcart,5.0
1023.0,Calum Chambers,5.0
1023.0,Eric Maxim Choupo-Moting,5.0
1023.0,Jamie Clapham,5.0
1023.0,Alan Cork,5.0
1023.0,Aaron Cresswell,5.0
1023.0,Sasa Curcic,5.0
1023.0,Olivier Dacourt,5.0
1023.0,Julian Darby,5.0
1023.0,Mark Davies,5.0
1023.0,Anderson,5.0
1023.0,Bobby De Cordova-Reid,5.0
1023.0,Fabian De Freitas,5.0
1023.0,Deco,5.0
1023.0,Ashkan Dejagah,5.0
1023.0,Michael Duberry,5.0
1023.0,Shane Duffy,5.0
1023.0,Bruce Dyer,5.0
1023.0,Emmanuel Eboué,5.0
1023.0,David Edwards,5.0
1023.0,Ronnie Ekelund,5.0
1023.0,Ahmed El Mohamady,5.0
1023.0,Nathan Ellington,5.0
1023.0,Craig Fagan,5.0
1023.0,Radamel Falcao,5.0
1023.0,Fabrice Fernandes,5.0
1023.0,Caleb Folan,5.0
1023.0,Quinton Fortune,5.0
1023.0,Jonathan Fortune,5.0
1023.0,Guillermo Franco,5.0
1023.0,Paul Gascoigne,5.0
1023.0,Brian Gayle,5.0
1023.0,Darron Gibson,5.0
1023.0,Michael Gray,5.0
1023.0,Juliano Belletti,5.0
1023.0,David Healy,5.0
1023.0,Neil Heaney,5.0
1023.0,Pablo Hernández,5.0
1023.0,Gonzalo Higuaín,5.0
1023.0,José Holebas,5.0
1023.0,Matt Holmes,5.0
1023.0,Aaron Hughes,5.0
1023.0,Stephen Hughes,5.0
1023.0,José Izquierdo,5.0
1023.0,Adnan Januzaj,5.0
1023.0,Jirí Jarosik,5.0
1023.0,Nigel Jemson,5.0
1023.0,Seth Johnson,5.0
1023.0,Wim Jonk,5.0
1023.0,Alexander Kacaniklic,5.0
1023.0,Jimmy Kébé,5.0
1023.0,Marc Keller,5.0
1023.0,Mark Kinsella,5.0
1023.0,Anthony Knockaert,5.0
1023.0,Willem Korsten,5.0
1023.0,Denny Landzaat,5.0
1023.0,Jamaal Lascelles,5.0
1023.0,Grant Leadbitter,5.0
1023.0,David Lee,5.0
1023.0,Neil Lennon,5.0
1023.0,Andy Linighan,5.0
1023.0,Jari Litmanen,5.0
1023.0,Attilio Lombardo,5.0
1023.0,Mike Marsh,5.0
1023.0,Philemon Masinga,5.0
1023.0,Mike Milligan,5.0
1023.0,Lee Mills,5.0
1023.0,Simon Milton,5.0
1023.0,Kevin Moran,5.0
1023.0,Jody Morris,5.0
1023.0,Emile Mpenza,5.0
1023.0,Fabrice Muamba,5.0
1023.0,Sulley Muntari,5.0
1023.0,Gary Neville,5.0
1023.0,Rob Newman,5.0
1023.0,Michel Ngonge,5.0
1023.0,Rafael,5.0
1023.0,Mladen Petric,5.0
1023.0,Karel Poborsky,5.0
1023.0,Darryl Powell,5.0
1023.0,Marc Pugh,5.0
1023.0,Marc Rieper,5.0
1023.0,Fábio Rochemback,5.0
1023.0,Gary Rowett,5.0
1023.0,Bakary Sako,5.0
1023.0,Vinny Samways,5.0
1023.0,Stefan Schwarz,5.0
1023.0,Seol Ki-Hyeon,5.0
1023.0,Gerald Sibon,5.0
1023.0,Mamady Sidibe,5.0
1023.0,Florent Sinama-Pongolle,5.0
1023.0,Allan Smart,5.0
1023.0,Adam Smith,5.0
1023.0,Trond Egil Soltvedt,5.0
1023.0,Paul Stewart,5.0
1023.0,Mick Stockwell,5.0
1023.0,Robert Ullathorne,5.0
1023.0,Luke Varney,5.0
1023.0,David Vaughan,5.0
1023.0,Carlos Vela,5.0
1023.0,Jan Vertonghen,5.0
1023.0,Andrey Voronin,5.0
1023.0,Paul Williams,5.0
1023.0,Danny Williamson,5.0
1023.0,Nigel Winterburn,5.0
1023.0,Alan Wright,5.0
1023.0,Tommy Wright,5.0
1023.0,Mark Wright,5.0
1023.0,Nikola Zigic,5.0
1144.0,Gary Ablett,4.0
1144.0,Micky Adams,4.0
1144.0,Nolito,4.0
1144.0,Paul Allen,4.0
1144.0,Andreas Andersson,4.0
1144.0,Ilan Araujo,4.0
1144.0,Oussama Assaidi,4.0
1144.0,Benoit Assou-Ekotto,4.0
1144.0,Phil Babb,4.0
1144.0,Chris Baird,4.0
1144.0,Ibrahima Bakayoko,4.0
1144.0,Sol Bamba,4.0
1144.0,Darren Barnard,4.0
1144.0,Valon Behrami,4.0
1144.0,David Bellion,4.0
1144.0,Rolando Bianchi,4.0
1144.0,André Bikey,4.0
1144.0,Ian Bishop,4.0
1144.0,Daley Blind,4.0
1144.0,Fredi Bobic,4.0
1144.0,Willy Boly,4.0
1144.0,Thomas Brolin,4.0
1144.0,Wes Brown,4.0
1144.0,Michael Brown,4.0
1144.0,David Busst,4.0
1144.0,Colin Cameron,4.0
1144.0,Andy Campbell,4.0
1144.0,Tiago,4.0
1144.0,Darren Caskey,4.0
1144.0,Stewart Castledine,4.0
1144.0,Nathaniel Clyne,4.0
1144.0,Fabricio Coloccini,4.0
1144.0,Daniel Cousin,4.0
1144.0,Jamie Cureton,4.0
1144.0,Danilo,4.0
1144.0,Rúben Neves,4.0
1144.0,Martin Dahlin,4.0
1144.0,Christian Dailly,4.0
1144.0,Tom Davies,4.0
1144.0,Marten de Roon,4.0
1144.0,Arjan De Zeeuw,4.0
1144.0,David Di Michele,4.0
1144.0,Lucas Digne,4.0
1144.0,Matt Doherty,4.0
1144.0,Jose Dominguez,4.0
1144.0,Daniel Drinkwater,4.0
1144.0,Ilie Dumitrescu,4.0
1144.0,Gordon Durie,4.0
1144.0,Wade Elliott,4.0
1144.0,Dickson Etuhu,4.0
1144.0,Mickey Evans,4.0
1144.0,Peter Fear,4.0
1144.0,Anton Ferdinand,4.0
1144.0,Maynor Figueroa,4.0
1144.0,Mark Fish,4.0
1144.0,Mauro Formica,4.0
1144.0,Stephen Froggatt,4.0
1144.0,Ramiro Funes Mori,4.0
1144.0,Emanuele Giaccherini,4.0
1144.0,Karlan Grant,4.0
1144.0,Carl Griffiths,4.0
1144.0,Gilles Grimandi,4.0
1144.0,Sandro,4.0
1144.0,Ruud Gullit,4.0
1144.0,Danny Guthrie,4.0
1144.0,Ian Holloway,4.0
1144.0,Georgi Hristov,4.0
1144.0,Will Hughes,4.0
1144.0,Ritchie Humphreys,4.0
1144.0,Pierre-Emile Højbjerg,4.0
1144.0,Jordon Ibe,4.0
1144.0,Brown Ideye,4.0
1144.0,Junichi Inamoto,4.0
1144.0,Ivar Ingimarsson,4.0
1144.0,Matt Jackson,4.0
1144.0,Simeon Jackson,4.0
1144.0,Eoin Jess,4.0
1144.0,Andreas Johansson,4.0
1144.0,Damien Johnson,4.0
1144.0,Christian Kabasele,4.0
1144.0,Christian Karembeu,4.0
1144.0,Martin Keown,4.0
1144.0,Mateja Kezman,4.0
1144.0,Darko Kovacevic,4.0
1144.0,Libor Kozák,4.0
1144.0,Jamie Lawrence,4.0
1144.0,Carl Leaburn,4.0
1144.0,David Linighan,4.0
1144.0,Federico Macheda,4.0
1144.0,Modibo Maiga,4.0
1144.0,Lazar Markovic,4.0
1144.0,Dean Marney,4.0
1144.0,Craig Maskell,4.0
1144.0,Sean McCarthy,4.0
1144.0,Nathaniel Mendez-Laing,4.0
1144.0,Gaizka Mendieta,4.0
1144.0,David Meyler,4.0
1144.0,Nenad Milijas,4.0
1144.0,Scott Minto,4.0
1144.0,Emerson,4.0
1144.0,Lee Morris,4.0
1144.0,Daryl Murphy,4.0
1144.0,Bruno N'Gotty,4.0
1144.0,Jesús Navas,4.0
1144.0,Wilfred Ndidi,4.0
1144.0,Ian Nolan,4.0
1144.0,Kenedy,4.0
1144.0,Nedum Onuoha,4.0
1144.0,Noé Pamarot,4.0
1144.0,Callum Paterson,4.0
1144.0,Martin Paterson,4.0
1144.0,Andy Pearce,4.0
1144.0,Lucas Pérez,4.0
1144.0,Emanuel Pogatetz,4.0
1144.0,Andy Preece,4.0
1144.0,Martin Pringle,4.0
1144.0,Preki,4.0
1144.0,Angel Rangel,4.0
1144.0,Alan Reeves,4.0
1144.0,Fernando,4.0
1144.0,David Rennie,4.0
1144.0,Bruno Ribeiro,4.0
1144.0,Albert Riera,4.0
1144.0,Aki Riihilahti,4.0
1144.0,Andy Ritchie,4.0
1144.0,David Rocastle,4.0
1144.0,Simon Rodger,4.0
1144.0,Alan Rogers,4.0
1144.0,Oriol Romeu,4.0
1144.0,Dennis Rommedahl,4.0
1144.0,Robert Rosario,4.0
1144.0,Craig Russell,4.0
1144.0,Bacary Sagna,4.0
1144.0,Fabian Schär,4.0
1144.0,Keith Scott,4.0
1144.0,Robbie Slater,4.0
1144.0,Bernie Slaven,4.0
1144.0,David Sommeil,4.0
1144.0,Grétar Steinsson,4.0
1144.0,Cristhian Stuani,4.0
1144.0,Michael Svensson,4.0
1144.0,Shaun Taylor,4.0
1144.0,Steven Thompson,4.0
1144.0,Mark Venus,4.0
1144.0,Michel Vonk,4.0
1144.0,Matej Vydra,4.0
1144.0,Joel Ward,4.0
1144.0,George Weah,4.0
1144.0,Danny Webber,4.0
1144.0,Glenn Whelan,4.0
1144.0,Peter Whittingham,4.0
1144.0,Steve Whitton,4.0
1144.0,Kurt Zouma,4.0
1297.0,Antolin Alcaraz,3.0
1297.0,Lorenzo Amoruso,3.0
1297.0,Viv Anderson,3.0
1297.0,Florin Andone,3.0
1297.0,Stuart Armstrong,3.0
1297.0,Harry Arter,3.0
1297.0,Christian Atsu,3.0
1297.0,Fábio Aurélio,3.0
1297.0,Kevin Ball,3.0
1297.0,David Bardsley,3.0
1297.0,DaMarcus Beasley,3.0
1297.0,Jean Beausejour,3.0
1297.0,Ali Benarbia,3.0
1297.0,Christian Benitez,3.0
1297.0,Ryan Bennett,3.0
1297.0,Nicola Berti,3.0
1297.0,Mark Blake,3.0
1297.0,Regi Blinker,3.0
1297.0,Gary Blissett,3.0
1297.0,Kevin-Prince Boateng,3.0
1297.0,José Bosingwa,3.0
1297.0,Sofiane Boufal,3.0
1297.0,Carl Bradshaw,3.0
1297.0,Paul Michael Branch,3.0
1297.0,Tim Breacker,3.0
1297.0,Gary Breen,3.0
1297.0,Mark Brennan,3.0
1297.0,Wayne Bridge,3.0
1297.0,Ian Bryson,3.0
1297.0,David Burrows,3.0
1297.0,Steven Caldwell,3.0
1297.0,Joel Campbell,3.0
1297.0,Jamie Carragher,3.0
1297.0,Darren Carter,3.0
1297.0,Ivan Cavaleiro,3.0
1297.0,Nick Chadwick,3.0
1297.0,Gary Charles,3.0
1297.0,Simon Charlton,3.0
1297.0,Laurent Charvet,3.0
1297.0,James Chester,3.0
1297.0,Gaël Clichy,3.0
1297.0,Danny Collins,3.0
1297.0,John Collins,3.0
1297.0,Paul Cook,3.0
1297.0,Bernardo Corradi,3.0
1297.0,Steve Cotterill,3.0
1297.0,Gerry Creaney,3.0
1297.0,Ian Crook,3.0
1297.0,Carlos Cuellar,3.0
1297.0,Pascal Cygan,3.0
1297.0,Manuel da Costa,3.0
1297.0,Tony Daley,3.0
1297.0,Stéphane Dalmat,3.0
1297.0,Damien Delaney,3.0
1297.0,Martín Demichelis,3.0
1297.0,Paul Devlin,3.0
1297.0,Ángel Di María,3.0
1297.0,Didier Domi,3.0
1297.0,Mal Donaghy,3.0
1297.0,O'Neill Donaldson,3.0
1297.0,Tony Dorigo,3.0
1297.0,Royston Drenthe,3.0
1297.0,Lewis Dunk,3.0
1297.0,Karim El Ahmadi,3.0
1297.0,John Eustace,3.0
1297.0,Sofiane Feghouli,3.0
1297.0,Barry Ferguson,3.0
1297.0,Gelson Fernandes,3.0
1297.0,Robert Fleck,3.0
1297.0,Ioan Viorel Ganea,3.0
1297.0,Maurizio Gaudino,3.0
1297.0,Gaël Givet,3.0
1297.0,Paul Goddard,3.0
1297.0,Danny Granville,3.0
1297.0,Julian Gray,3.0
1297.0,Scott Green,3.0
1297.0,Idrissa Gueye,3.0
1297.0,Brynjar Gunnarsson,3.0
1297.0,Arnar Gunnlaugsson,3.0
1297.0,Micky Gynn,3.0
1297.0,Gareth Hall,3.0
1297.0,Steve Harkness,3.0
1297.0,Jon Harley,3.0
1297.0,Vegard Heggem,3.0
1297.0,John Heitinga,3.0
1297.0,Darius Henderson,3.0
1297.0,Steve Hodge,3.0
1297.0,Barry Horne,3.0
1297.0,David Hughes,3.0
1297.0,Alan Hutton,3.0
1297.0,Micah Hyde,3.0
1297.0,Vicente Iborra,3.0
1297.0,Tom Ince,3.0
1297.0,Carl Jenkinson,3.0
1297.0,Richard Johnson,3.0
1297.0,Mo Johnston,3.0
1297.0,David Jones,3.0
1297.0,Billy Jones,3.0
1297.0,Steve Jones,3.0
1297.0,Zanka,3.0
1297.0,Aboubakar Kamara,3.0
1297.0,Pajtim Kasami,3.0
1297.0,Michael Keane,3.0
1297.0,Alan Kernaghan,3.0
1297.0,Wahbi Khazri,3.0
1297.0,Vladimir Kinder,3.0
1297.0,Joonas Kolkka,3.0
1297.0,Lamine Koné,3.0
1297.0,Robert Koren,3.0
1297.0,Radoslav Kovac,3.0
1297.0,Sotirios Kyrgiakos,3.0
1297.0,Aymeric Laporte,3.0
1297.0,Jacob Laursen,3.0
1297.0,Anthony Le Tallec,3.0
1297.0,Jeremain Lens,3.0
1297.0,Jürgen Locadia,3.0
1297.0,Carlos Marinelli,3.0
1297.0,Ryan Mason,3.0
1297.0,Joel Matip,3.0
1297.0,Dominic Matteo,3.0
1297.0,Garath McCleary,3.0
1297.0,Alan McDonald,3.0
1297.0,Paul McGregor,3.0
1297.0,Billy McKinlay,3.0
1297.0,Dwight McNeil,3.0
1297.0,Stephen McPhail,3.0
1297.0,Gary McSheffrey,3.0
1297.0,Ben Mee,3.0
1297.0,Neil Mellor,3.0
1297.0,Sylvinho,3.0
1297.0,Ishmael Miller,3.0
1297.0,Tommy Miller,3.0
1297.0,Alberto Moreno,3.0
1297.0,Chris Morris,3.0
1297.0,Ravel Morrison,3.0
1297.0,Sean Morrison,3.0
1297.0,Lys Mousset,3.0
1297.0,Hayden Mullins,3.0
1297.0,Josh Murphy,3.0
1297.0,Kiki Musampa,3.0
1297.0,Christian Nade,3.0
1297.0,Nayim,3.0
1297.0,Ricky Newman,3.0
1297.0,Mark Nicholls,3.0
1297.0,Garry O'Connor,3.0
1297.0,Pedro Obiang,3.0
1297.0,Victor Obinna,3.0
1297.0,Seyi Olofinjana,3.0
1297.0,Simon Osborn,3.0
1297.0,Pablo Daniel Osvaldo,3.0
1297.0,Joe Parkinson,3.0
1297.0,Sixto Peralta,3.0
1297.0,Julio Baptista,3.0
1297.0,Jimmy Phillips,3.0
1297.0,Neil Pointon,3.0
1297.0,Jamie Pollock,3.0
1297.0,Gheorghe Popescu,3.0
1297.0,Hugo Porfirio,3.0
1297.0,Linvoy Primus,3.0
1297.0,Alex Pritchard,3.0
1297.0,Sebastian Prödl,3.0
1297.0,Nigel Quashie,3.0
1297.0,Stephen Quinn,3.0
1297.0,Alan Quinn,3.0
1297.0,Karl Ready,3.0
1297.0,Andy Roberts,3.0
1297.0,Antonio Rüdiger,3.0
1297.0,Matthew Rush,3.0
1297.0,Mamadou Sakho,3.0
1297.0,John Scales,3.0
1297.0,Riccardo Scimeca,3.0
1297.0,Nicky Shorey,3.0
1297.0,Fitzroy Simpson,3.0
1297.0,Danny Sonner,3.0
1297.0,Jack Stephens,3.0
1297.0,Igor Stimac,3.0
1297.0,Sun Jihai,3.0
1297.0,Daryl Sutch,3.0
1297.0,Teemu Tainio,3.0
1297.0,James Tarkowski,3.0
1297.0,Michael Tarnat,3.0
1297.0,Bob Taylor,3.0
1297.0,Martin Taylor,3.0
1297.0,Alexander Tettey,3.0
1297.0,Geoff Thomas,3.0
1297.0,Emerson Thome,3.0
1297.0,Neil Thompson,3.0
1297.0,Youri Tielemans,3.0
1297.0,Carl Tiler,3.0
1297.0,Jon Dahl Tomasson,3.0
1297.0,Diego Tristán,3.0
1297.0,Orlando Trustfull,3.0
1297.0,Andy Turner,3.0
1297.0,Rajiv van La Parra,3.0
1297.0,Eduardo Vargas,3.0
1297.0,Apostolos Vellios,3.0
1297.0,Jan Vennegoor of Hesselink,3.0
1297.0,Emanuel Villa,3.0
1297.0,Ross Wallace,3.0
1297.0,Duncan Watmore,3.0
1297.0,Steven Whittaker,3.0
1297.0,Tommy Widdrington,3.0
1297.0,Clyde Wijnhard,3.0
1297.0,Ray Wilkins,3.0
1297.0,James Wilson,3.0
1297.0,Stuart Wilson,3.0
1297.0,Nigel Worthington,3.0
1297.0,Christopher Wreh,3.0
1297.0,Jermaine Wright,3.0
1297.0,Frank Yallop,3.0
1297.0,Eddie Youds,3.0
1297.0,Theo Zagorakis,3.0
1297.0,Kamil Zayatte,3.0
1297.0,Ronald Zubar,3.0
1297.0,Ysrael Zuniga,3.0
1512.0,Rolando Aarons,2.0
1512.0,Almen Abdi,2.0
1512.0,Ibrahim Afellay,2.0
1512.0,Steve Agnew,2.0
1512.0,Gareth Ainsworth,2.0
1512.0,Trent Alexander-Arnold,2.0
1512.0,Rory Allen,2.0
1512.0,Clive Allen,2.0
1512.0,Jozy Altidore,2.0
1512.0,Sone Aluko,2.0
1512.0,Sammy Ameobi,2.0
1512.0,Vurnon Anita,2.0
1512.0,Álvaro Arbeloa,2.0
1512.0,Serge Aurier,2.0
1512.0,Tiemoué Bakayoko,2.0
1512.0,Igor Balis,2.0
1512.0,Barry Bannan,2.0
1512.0,Alex Baptiste,2.0
1512.0,Ricardo Pereira,2.0
1512.0,Paul Beesley,2.0
1512.0,Elliott Bennett,2.0
1512.0,John Beresford,2.0
1512.0,Thievy,2.0
1512.0,Slaven Bilic,2.0
1512.0,Philip Billing,2.0
1512.0,Igor Biscan,2.0
1512.0,Stig Inge Bjornebye,2.0
1512.0,Clayton Blackmore,2.0
1512.0,Jesper Blomqvist,2.0
1512.0,Jared Borgetti,2.0
1512.0,Brian Borrows,2.0
1512.0,Jovo Bosancic,2.0
1512.0,Paul Bosvelt,2.0
1512.0,Steve Bould,2.0
1512.0,Miguel Britos,2.0
1512.0,Steve Brown,2.0
1512.0,Paul Butler,2.0
1512.0,Alexander Büttner,2.0
1512.0,Ákos Buzsáky,2.0
1512.0,Tom Cairney,2.0
1512.0,Geoff Cameron,2.0
1512.0,Tom Carroll,2.0
1512.0,Jimmy Carter,2.0
1512.0,Luke Chadwick,2.0
1512.0,Steve Chettle,2.0
1512.0,Bruno Cheyrou,2.0
1512.0,Youssef Chippo,2.0
1512.0,André Santos,2.0
1512.0,Simon Coleman,2.0
1512.0,Manucho,2.0
1512.0,Daniel Cordone,2.0
1512.0,Vedran Corluka,2.0
1512.0,Richard Cresswell,2.0
1512.0,Dani,2.0
1512.0,Abel Xavier,2.0
1512.0,Liam Daish,2.0
1512.0,Jean-Claude Darcheville,2.0
1512.0,Calum Davenport,2.0
1512.0,Callum Davidson,2.0
1512.0,Andy Dawson,2.0
1512.0,Ulises de la Cruz,2.0
1512.0,Ritchie de Laet,2.0
1512.0,Mathieu Debuchy,2.0
1512.0,Steven Defour,2.0
1512.0,Mark Delaney,2.0
1512.0,Nathan Delfouneso,2.0
1512.0,Jay DeMerit,2.0
1512.0,Leander Dendoncker,2.0
1512.0,Memphis Depay,2.0
1512.0,Salif Diao,2.0
1512.0,Adama Diomande,2.0
1512.0,Kerry Dixon,2.0
1512.0,Giorgos Donis,2.0
1512.0,Landon Donovan,2.0
1512.0,Paul Dummett,2.0
1512.0,David Edgar,2.0
1512.0,Tahar El-Khalej,2.0
1512.0,Eljero Elia,2.0
1512.0,Gary Elkins,2.0
1512.0,Stephen Elliott,2.0
1512.0,George Elokobi,2.0
1512.0,José Enrique,2.0
1512.0,Gareth Farrelly,2.0
1512.0,Kiko Femenía,2.0
1512.0,Manuel Fernandes,2.0
1512.0,Federico Fernández,2.0
1512.0,Hugo Viana,2.0
1512.0,Curtis Fleming,2.0
1512.0,Chico Flores,2.0
1512.0,Kevin Foley,2.0
1512.0,Daniel Fox,2.0
1512.0,Jorginho,2.0
1512.0,Matty Fryatt,2.0
1512.0,Christian Fuchs,2.0
1512.0,Javi García,2.0
1512.0,Anthony Gardner,2.0
1512.0,Javier Garrido,2.0
1512.0,Phil Gee,2.0
1512.0,Kieran Gibbs,2.0
1512.0,Ben Gibson,2.0
1512.0,Carles Gil,2.0
1512.0,Steve Gohouri,2.0
1512.0,Mark González,2.0
1512.0,Yordi,2.0
1512.0,David Goodwillie,2.0
1512.0,Corrado Grabbi,2.0
1512.0,Tony Grant,2.0
1512.0,Xavier Gravelaine,2.0
1512.0,Andrew Gray,2.0
1512.0,Andy Griffin,2.0
1512.0,Leandre Griffit,2.0
1512.0,Perry Groves,2.0
1512.0,Johannes Karl Gudjonsson,2.0
1512.0,Adlène Guédioura,2.0
1512.0,Aron Gunnarsson,2.0
1512.0,Fitz Hall,2.0
1512.0,Owen Hargreaves,2.0
1512.0,John Harkes,2.0
1512.0,Mark Hateley,2.0
1512.0,Isaac Hayden,2.0
1512.0,Micky Hazard,2.0
1512.0,Ahmed Hegazi,2.0
1512.0,Tomer Hemed,2.0
1512.0,John Hendry,2.0
1512.0,Stuart Holden,2.0
