Rank,Player,Goals
184.0,Dennis Wise,34.0
194.0,Charlie Adam,33.0
194.0,Iain Dowie,33.0
194.0,Cameron Jerome,33.0
194.0,Ian Marshall,33.0
194.0,Ayoze Pérez,33.0
194.0,Jamie Redknapp,33.0
194.0,Jay Rodriguez,33.0
194.0,Ashley Ward,33.0
194.0,Callum Wilson,33.0
203.0,Pierre-Emerick Aubameyang,32.0
203.0,Leighton Baines,32.0
203.0,Ashley Barnes,32.0
203.0,Nicklas Bendtner,32.0
203.0,Djibril Cissé,32.0
203.0,Jermaine Jenas,32.0
203.0,Adam Johnson,32.0
203.0,James Morrison,32.0
203.0,Mesut Özil,32.0
203.0,Shaun Wright-Phillips,32.0
203.0,Wilfried Zaha,32.0
214.0,Yossi Benayoun,31.0
214.0,Henri Camara,31.0
214.0,Craig Gardner,31.0
214.0,Rickie Lambert,31.0
214.0,Hamilton Ricard,31.0
214.0,Patrick Vieira,31.0
214.0,Jason Wilcox,31.0
214.0,Sylvain Wiltord,31.0
222.0,Oyvind Leonhardsen,30.0
223.0,Luís Boa Morte,29.0
223.0,Nicky Butt,29.0
223.0,Malcolm Christie,29.0
223.0,Juninho,29.0
223.0,Nikica Jelavic,29.0
223.0,Jürgen Klinsmann,29.0
223.0,Adam Lallana,29.0
223.0,Savo Milosevic,29.0
223.0,Kevin Mirallas,29.0
223.0,Egil Ostenstad,29.0
223.0,Paul Rideout,29.0
223.0,Hugo Rodallega,29.0
223.0,Uwe Rösler,29.0
223.0,Ian Taylor,29.0
237.0,John Barnes,28.0
237.0,Milan Baros,28.0
237.0,Willian,28.0
237.0,Carl Cort,28.0
237.0,El Hadji Diouf,28.0
237.0,Marlon Harewood,28.0
237.0,Ian Harte,28.0
237.0,Heidar Helguson,28.0
237.0,Paul Kitson,28.0
237.0,Obafemi Martins,28.0
237.0,Charles N'Zogbia,28.0
237.0,Loïc Remy,28.0
237.0,Pedro,28.0
250.0,Gary Cahill,27.0
250.0,Simon Davies,27.0
250.0,Gabriel Jesus,27.0
250.0,Mame Biram Diouf,27.0
250.0,Lee Hendrie,27.0
250.0,Jonatan Johansson,27.0
250.0,Alexandre Lacazette,27.0
250.0,Marcus Rashford,27.0
250.0,Neil Shipperley,27.0
250.0,Guy Whittingham,27.0
260.0,Nani,26.0
260.0,Victor Anichebe,26.0
260.0,Michail Antonio,26.0
260.0,Joey Barton,26.0
260.0,Yohan Cabaye,26.0
260.0,Jordan Henderson,26.0
260.0,Sebastian Larsson,26.0
